Codigo	Descripcion	Precio Costo	Precio Venta	Precio Mayoreo	Inventario	Inv. Minimo	Departamento
5.42004E+12	Equilibrium Senior 60 Tab	$569.00	$800.00	$700.00	2	1	CATSAVET
7.50109E+12	Eroxtal 0.5	$120.00	$180.00	$0.00	6	0	LAS POTRANCAS
3.7601E+12	Essential 6 Spot-On Pipetas Gato 	$131.00	$200.00	$151.00	6	5	DYSVET
3.7601E+12	Essential 6 Spot-On Pipetas Perro 20-40kg	$170.00	$250.00	$200.00	9	5	DYSVET
 F23237	Estrepto Ler 1miu	$53.00	$150.00	$0.00	1	0	aranda 
 F2324	Estrepto Ler 4mui	$94.00	$200.00	$0.00	0	0	aranda 
 F24086	Estrepto Ler 6mui	$116.00	$250.00	$0.00	1	0	aranda 
7.34448E+11	Eti Pets Otico	$155.00	$200.00	$170.00	1	1	aranda 
 J4F15528 JUNIO 27	Expulsina 10 Ml 	$0.00	$150.00	$100.00	2	1	LAS POTRANCAS
38100179012	FELINE/NF/3.62kg	$682.00	$900.00	$800.00	1	1	CATSAVET
 FIPRO	FIPROMED 2-10 KG 	$950.00	$150.00	$0.00	4	0	aranda 
 22687-F	"FLOHKEINE SHAMPOO,"	$100.00	$150.00	$115.00	5	2	- Sin Departamento -
 F-23249	FLOHSIN BARRA 	$51.00	$90.00	$60.00	2	2	- Sin Departamento -
 F-23283	FLOHSIN SHAMPOO	$81.00	$130.00	$95.00	3	2	- Sin Departamento -
7.79818E+12	Feline Endo Spot  2.1-5kg INTERNO	$0.00	$250.00	$0.00	1	3	telvet
7.79818E+12	Feline Full-Spot +5kg INTERNO Y EXTERNO 	$0.00	$300.00	$200.00	7	3	telvet
